motion_id,name,description,type,file
c9c88a71-b96c-11e4-a802-0aaa78deedf9,Bboy Uprock,Bboy Uprock Indian Step,Motion,download/c9c88a71-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb2327-b96c-11e4-a802-0aaa78deedf9,Overhead Squat,End Overhead Squat Workout To Fitness Idle,Motion,download/c9cb2327-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb3a87-b96c-11e4-a802-0aaa78deedf9,Victory,Victory From A Boxing Win,Motion,download/c9cb3a87-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb1f32-b96c-11e4-a802-0aaa78deedf9,Snatch,Snatch Workout,Motion,download/c9cb1f32-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb677f-b96c-11e4-a802-0aaa78deedf9,Standing Clap,Standing Low Clap From Sitting,Motion,download/c9cb677f-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb316a-b96c-11e4-a802-0aaa78deedf9,Kettlebell Swing,Start Russian Kettlebell Swing From Fitness Idle,Motion,download/c9cb316a-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9cc39-b96c-11e4-a802-0aaa78deedf9,Jumping To Hanging,Ledge Hit To Hanging Braced,Motion,download/c9c9cc39-b96c-11e4-a802-0aaa78deedf9.fbx
c9cb6ccd-b96c-11e4-a802-0aaa78deedf9,Fist Pump,High Enthusiasm Fist Pump,Motion,download/c9cb6ccd-b96c-11e4-a802-0aaa78deedf9.fbx
c9c901a0-b96c-11e4-a802-0aaa78deedf9,Focus,Shake Off Head Pain And Focus,Motion,download/c9c901a0-b96c-11e4-a802-0aaa78deedf9.fbx
c9c93013-b96c-11e4-a802-0aaa78deedf9,Crouch Walk Strafe Left,Crouched Rifle Walk Strafe Left,Motion,download/c9c93013-b96c-11e4-a802-0aaa78deedf9.fbx
c9c90efc-b96c-11e4-a802-0aaa78deedf9,Head Gesture,Gesturing Head Side To Side,Motion,download/c9c90efc-b96c-11e4-a802-0aaa78deedf9.fbx
c9c97df8-b96c-11e4-a802-0aaa78deedf9,Crazy Gesture,Crazy Hand Gesture,Motion,download/c9c97df8-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9a063-b96c-11e4-a802-0aaa78deedf9,Left Cover Sneak,Left Standing Sneak Behind Cover,Motion,download/c9c9a063-b96c-11e4-a802-0aaa78deedf9.fbx
c9c9aef0-b96c-11e4-a802-0aaa78deedf9,Pull Heavy Object,Pulling A Heavy Object,Motion,download/c9c9aef0-b96c-11e4-a802-0aaa78deedf9.fbx
c9c63a74-b96c-11e4-a802-0aaa78deedf9,Gunplay,Standing Shooting Rapid Fire,Motion,download/c9c63a74-b96c-11e4-a802-0aaa78deedf9.fbx
c9c649e2-b96c-11e4-a802-0aaa78deedf9,Jumping Down,Male Graceful Jump Down,Motion,download/c9c649e2-b96c-11e4-a802-0aaa78deedf9.fbx
c9c6500d-b96c-11e4-a802-0aaa78deedf9,Talking,Male Talking While Seated,Motion,download/c9c6500d-b96c-11e4-a802-0aaa78deedf9.fbx
